data_column,orario_column,BTP_Price
1/09/2009,0:01,100
2/09/2009,1:01,115.2
3/09/2009,2:01,115.2
4/09/2009,3:01,115.2
7/09/2009,4:01,115.2
8/09/2009,5:01,115.04
9/09/2009,6:01,115.04
10/09/2009,7:01,115.04
11/09/2009,8:01,114.9
14/09/2009,9:01,114.63
15/09/2009,10:01,114.54
16/09/2009,11:01,114.5
17/09/2009,12:01,114.35
18/09/2009,13:01,114.44
21/09/2009,14:01,114.21
22/09/2009,15:01,114.13
23/09/2009,16:01,114.12
24/09/2009,17:01,114.7
25/09/2009,18:01,114.82
28/09/2009,19:01,114.79
29/09/2009,20:01,114.84
30/09/2009,21:01,114.8
1/10/2009,22:01,114.75
2/10/2009,23:01,115.24
5/10/2009,0:01,115.5
6/10/2009,1:01,115.41
7/10/2009,2:01,115.8
8/10/2009,3:01,115.96
9/10/2009,4:01,115.39
12/10/2009,5:01,115.48
13/10/2009,6:01,115.36
14/10/2009,7:01,114.95
15/10/2009,8:01,114.38
16/10/2009,9:01,114.53
19/10/2009,10:01,114.65
20/10/2009,11:01,115.22
21/10/2009,12:01,114.7
22/10/2009,13:01,114.78
23/10/2009,14:01,114.44
26/10/2009,15:01,114.54
27/10/2009,16:01,115.31
28/10/2009,17:01,115.45
29/10/2009,18:01,114.96
30/10/2009,19:01,115.59
2/11/2009,20:01,115.73
3/11/2009,21:01,115.57
4/11/2009,22:01,115.32
5/11/2009,23:01,115.24
6/11/2009,0:01,115.2
9/11/2009,1:01,115.64
10/11/2009,2:01,116.14
11/11/2009,3:01,116.13
12/11/2009,4:01,116.02
13/11/2009,5:01,115.6
16/11/2009,6:01,115.86
17/11/2009,7:01,116.27
18/11/2009,8:01,116.12
19/11/2009,9:01,116.01
20/11/2009,10:01,115.98
23/11/2009,11:01,115.31
24/11/2009,12:01,115.47
25/11/2009,13:01,115.19
26/11/2009,14:01,115.25
27/11/2009,15:01,115.25
30/11/2009,16:01,115.55
1/12/2009,17:01,115.89
2/12/2009,18:01,115.98
3/12/2009,19:01,115.93
4/12/2009,20:01,115.79
7/12/2009,21:01,116.33
8/12/2009,22:01,116.19
9/12/2009,23:01,115.84
10/12/2009,0:01,115.67
11/12/2009,1:01,115.65
14/12/2009,2:01,115.85
15/12/2009,3:01,115.62
16/12/2009,4:01,115.92
17/12/2009,5:01,116.32
18/12/2009,6:01,116.22
21/12/2009,7:01,115.76
22/12/2009,8:01,115.77
23/12/2009,9:01,115.73
28/12/2009,10:01,115.42
29/12/2009,11:01,115.07
30/12/2009,12:01,114.78
4/01/2010,13:01,115.22
5/01/2010,14:01,115.25
6/01/2010,15:01,115.11
7/01/2010,16:01,115.38
8/01/2010,17:01,115.55
11/01/2010,18:01,115.74
12/01/2010,19:01,115.78
13/01/2010,20:01,115.49
14/01/2010,21:01,115.41
15/01/2010,22:01,115.6
18/01/2010,23:01,115.82
19/01/2010,0:01,115.8
20/01/2010,1:01,115.72
21/01/2010,2:01,115.63
22/01/2010,3:01,115.72
25/01/2010,4:01,116.03
26/01/2010,5:01,116.26
27/01/2010,6:01,115.72
28/01/2010,7:01,115.17
29/01/2010,8:01,115.45
1/02/2010,9:01,116.02
2/02/2010,10:01,115.99
3/02/2010,11:01,115.79
4/02/2010,12:01,115.96
5/02/2010,13:01,115.94
8/02/2010,14:01,115.72
9/02/2010,15:01,116.13
10/02/2010,16:01,116.47
11/02/2010,17:01,116.3
12/02/2010,18:01,116.15
15/02/2010,19:01,116.05
16/02/2010,20:01,116.11
17/02/2010,21:01,116.3
18/02/2010,22:01,116.07
19/02/2010,23:01,115.9
22/02/2010,0:01,115.91
23/02/2010,1:01,116.124
24/02/2010,2:01,115.87
25/02/2010,3:01,115.226
26/02/2010,4:01,115.446
1/03/2010,5:01,115.25
2/03/2010,6:01,115.25
3/03/2010,7:01,115.25
4/03/2010,8:01,115.34
5/03/2010,9:01,115.38
8/03/2010,10:01,115.4
9/03/2010,11:01,115.67
10/03/2010,12:01,115.72
11/03/2010,13:01,115.45
12/03/2010,14:01,115.52
15/03/2010,15:01,115.61
16/03/2010,16:01,115.77
17/03/2010,17:01,116
18/03/2010,18:01,115.64
19/03/2010,19:01,115.63
22/03/2010,20:01,115.9
23/03/2010,21:01,116.13
24/03/2010,22:01,116.05
25/03/2010,23:01,115.98
26/03/2010,0:01,116.24
29/03/2010,1:01,116.38
30/03/2010,2:01,116.56
31/03/2010,3:01,116.75
1/04/2010,4:01,117.02
6/04/2010,5:01,116.4
7/04/2010,6:01,116.56
8/04/2010,7:01,116.73
9/04/2010,8:01,116.61
12/04/2010,9:01,116.76
13/04/2010,10:01,116.8
14/04/2010,11:01,116.72
15/04/2010,12:01,116.83
16/04/2010,13:01,117.01
19/04/2010,14:01,117.01
20/04/2010,15:01,116.82
21/04/2010,16:01,116.58
22/04/2010,17:01,116.27
23/04/2010,18:01,116.14
26/04/2010,19:01,116.11
27/04/2010,20:01,115.7
28/04/2010,21:01,114.89
29/04/2010,22:01,115.23
30/04/2010,23:01,115.82
3/05/2010,0:01,115.98
4/05/2010,1:01,115.73
5/05/2010,2:01,115.59
6/05/2010,3:01,113.52
7/05/2010,4:01,113.1
10/05/2010,5:01,116.02
11/05/2010,6:01,116.2
12/05/2010,7:01,116.35
13/05/2010,8:01,116.83
14/05/2010,9:01,116.47
17/05/2010,10:01,116.45
18/05/2010,11:01,116.52
19/05/2010,12:01,116.64
20/05/2010,13:01,116.25
21/05/2010,14:01,116.6
24/05/2010,15:01,116.73
25/05/2010,16:01,116.42
26/05/2010,17:01,115.58
27/05/2010,18:01,114.84
28/05/2010,19:01,114.4
31/05/2010,20:01,113.68
1/06/2010,21:01,112.99
2/06/2010,22:01,112.27
3/06/2010,23:01,112
4/06/2010,0:01,111.81
7/06/2010,1:01,111.2
8/06/2010,2:01,111.8
9/06/2010,3:01,112.88
10/06/2010,4:01,114.03
11/06/2010,5:01,113.97
14/06/2010,6:01,113.29
15/06/2010,7:01,113.5
16/06/2010,8:01,113.48
17/06/2010,9:01,114
18/06/2010,10:01,114.55
21/06/2010,11:01,114.89
22/06/2010,12:01,114.56
23/06/2010,13:01,114.35
24/06/2010,14:01,114.3
25/06/2010,15:01,114.05
28/06/2010,16:01,113.86
29/06/2010,17:01,113.88
30/06/2010,18:01,114.13
1/07/2010,19:01,114.17
2/07/2010,20:01,114.73
5/07/2010,21:01,114.97
6/07/2010,22:01,114.5
7/07/2010,23:01,114.33
8/07/2010,0:01,114.51
9/07/2010,1:01,114.83
12/07/2010,2:01,114.77
13/07/2010,3:01,114.58
14/07/2010,4:01,114.12
15/07/2010,5:01,114.19
16/07/2010,6:01,114.72
19/07/2010,7:01,114.84
20/07/2010,8:01,115.29
21/07/2010,9:01,115.4
22/07/2010,10:01,115.42
23/07/2010,11:01,115.42
26/07/2010,12:01,115.7
27/07/2010,13:01,116.05
28/07/2010,14:01,115.89
29/07/2010,15:01,116.24
30/07/2010,16:01,116.39
2/08/2010,17:01,116.63
3/08/2010,18:01,117.07
4/08/2010,19:01,117.29
5/08/2010,20:01,117.64
6/08/2010,21:01,118.03
9/08/2010,22:01,118.03
10/08/2010,23:01,117.44
11/08/2010,0:01,117.9
12/08/2010,1:01,117.63
13/08/2010,2:01,117.35
16/08/2010,3:01,117.51
17/08/2010,4:01,117.79
18/08/2010,5:01,118.52
19/08/2010,6:01,118.33
20/08/2010,7:01,118.32
23/08/2010,8:01,118.4
24/08/2010,9:01,118.73
25/08/2010,10:01,118.71
26/08/2010,11:01,118.25
27/08/2010,12:01,117.898
30/08/2010,13:01,117.418
31/08/2010,14:01,117.442
1/09/2010,15:01,117.12
2/09/2010,16:01,117.08
3/09/2010,17:01,117.13
6/09/2010,18:01,117.13
7/09/2010,19:01,117.17
8/09/2010,20:01,117.32
9/09/2010,21:01,117.27
10/09/2010,22:01,116.82
13/09/2010,23:01,116.36
14/09/2010,0:01,116.64
15/09/2010,1:01,116.44
16/09/2010,2:01,116.04
17/09/2010,3:01,115.88
20/09/2010,4:01,115.47
21/09/2010,5:01,115.75
22/09/2010,6:01,116.34
23/09/2010,7:01,116.56
24/09/2010,8:01,116.18
27/09/2010,9:01,116.48
28/09/2010,10:01,116.23
29/09/2010,11:01,116.29
30/09/2010,12:01,116.68
1/10/2010,13:01,116.86
4/10/2010,14:01,117.25
5/10/2010,15:01,117.44
6/10/2010,16:01,117.9
7/10/2010,17:01,117.71
8/10/2010,18:01,118.12
11/10/2010,19:01,118.28
12/10/2010,20:01,118.32
13/10/2010,21:01,118.06
14/10/2010,22:01,118.39
15/10/2010,23:01,118.15
18/10/2010,0:01,118.25
19/10/2010,1:01,117.88
20/10/2010,2:01,117.73
21/10/2010,3:01,117.3
22/10/2010,4:01,117.4
25/10/2010,5:01,117.85
26/10/2010,6:01,117.58
27/10/2010,7:01,116.59
28/10/2010,8:01,116.64
29/10/2010,9:01,116.58
1/11/2010,10:01,116.66
2/11/2010,11:01,116.43
3/11/2010,12:01,116.53
4/11/2010,13:01,116.44
5/11/2010,14:01,116.4
8/11/2010,15:01,115.75
9/11/2010,16:01,115.69
10/11/2010,17:01,115.28
11/11/2010,18:01,114.18
12/11/2010,19:01,114.75
15/11/2010,20:01,114.93
16/11/2010,21:01,114.3
17/11/2010,22:01,114.38
18/11/2010,23:01,113.75
19/11/2010,0:01,114.32
22/11/2010,1:01,114.62
23/11/2010,2:01,114.21
24/11/2010,3:01,113.6
25/11/2010,4:01,112.898
26/11/2010,5:01,112.41
29/11/2010,6:01,110.516
30/11/2010,7:01,109.946
1/12/2010,8:01,110.89
2/12/2010,9:01,111.79
3/12/2010,10:01,111.73
6/12/2010,11:01,111.29
7/12/2010,12:01,110.83
8/12/2010,13:01,110.8
9/12/2010,14:01,110.86
10/12/2010,15:01,110.81
13/12/2010,16:01,110.49
14/12/2010,17:01,110.31
15/12/2010,18:01,110.86
16/12/2010,19:01,110.2
17/12/2010,20:01,110.17
20/12/2010,21:01,110.36
21/12/2010,22:01,110.07
22/12/2010,23:01,109.98
23/12/2010,0:01,109.86
27/12/2010,1:01,109.42
28/12/2010,2:01,109.25
29/12/2010,3:01,108.65
30/12/2010,4:01,108.77
3/01/2011,5:01,109.48
4/01/2011,6:01,110.38
5/01/2011,7:01,110.3
6/01/2011,8:01,109.39
7/01/2011,9:01,109.1
10/01/2011,10:01,108.81
11/01/2011,11:01,109.09
12/01/2011,12:01,109.36
13/01/2011,13:01,109.97
14/01/2011,14:01,110.42
17/01/2011,15:01,109.87
18/01/2011,16:01,109.23
19/01/2011,17:01,109.91
20/01/2011,18:01,109.54
21/01/2011,19:01,110.1
24/01/2011,20:01,110.32
25/01/2011,21:01,109.89
26/01/2011,22:01,109.45
27/01/2011,23:01,109.21
28/01/2011,0:01,109.49
31/01/2011,1:01,109.9
1/02/2011,2:01,110.64
2/02/2011,3:01,111.6
3/02/2011,4:01,110.82
4/02/2011,5:01,110.99
7/02/2011,6:01,110.36
8/02/2011,7:01,109.83
9/02/2011,8:01,109.7
10/02/2011,9:01,109.7
11/02/2011,10:01,109.58
14/02/2011,11:01,109.29
15/02/2011,12:01,109.47
16/02/2011,13:01,110.07
17/02/2011,14:01,110.09
18/02/2011,15:01,109.74
21/02/2011,16:01,109.76
22/02/2011,17:01,109.6
23/02/2011,18:01,109.16
24/02/2011,19:01,108.62
25/02/2011,20:01,108.15
28/02/2011,21:01,107.862
1/03/2011,22:01,107.68
2/03/2011,23:01,107.86
3/03/2011,0:01,107.05
4/03/2011,1:01,107.12
7/03/2011,2:01,107.14
8/03/2011,3:01,106.67
9/03/2011,4:01,106.33
10/03/2011,5:01,106.49
11/03/2011,6:01,107.38
14/03/2011,7:01,108.23
15/03/2011,8:01,108.79
16/03/2011,9:01,109.06
17/03/2011,10:01,108.62
18/03/2011,11:01,109.09
21/03/2011,12:01,108.72
22/03/2011,13:01,108.32
23/03/2011,14:01,108.35
24/03/2011,15:01,108.4
25/03/2011,16:01,108.55
28/03/2011,17:01,108.3
29/03/2011,18:01,108.19
30/03/2011,19:01,108.33
31/03/2011,20:01,107.96
1/04/2011,21:01,108.11
4/04/2011,22:01,108.58
5/04/2011,23:01,108.52
6/04/2011,0:01,108.85
7/04/2011,1:01,108.78
8/04/2011,2:01,108.69
11/04/2011,3:01,109.02
12/04/2011,4:01,109.5
13/04/2011,5:01,109.21
14/04/2011,6:01,109.06
15/04/2011,7:01,108.95
18/04/2011,8:01,108.6
19/04/2011,9:01,108.82
20/04/2011,10:01,108.95
21/04/2011,11:01,108.75
26/04/2011,12:01,108.37
27/04/2011,13:01,108.35
28/04/2011,14:01,108.82
29/04/2011,15:01,109.15
2/05/2011,16:01,109.23
3/05/2011,17:01,109.39
4/05/2011,18:01,109.44
5/05/2011,19:01,109.65
6/05/2011,20:01,109.79
9/05/2011,21:01,109.7
10/05/2011,22:01,109.95
11/05/2011,23:01,109.98
12/05/2011,0:01,110.4
13/05/2011,1:01,110.18
16/05/2011,2:01,110.41
17/05/2011,3:01,110.2
18/05/2011,4:01,110.11
19/05/2011,5:01,109.93
20/05/2011,6:01,109.86
23/05/2011,7:01,109.51
24/05/2011,8:01,109.77
25/05/2011,9:01,110.26
26/05/2011,10:01,110.068
27/05/2011,11:01,109.56
30/05/2011,12:01,108.736
31/05/2011,13:01,108.556
1/06/2011,14:01,108.57
2/06/2011,15:01,108.98
3/06/2011,16:01,109.51
6/06/2011,17:01,109.23
7/06/2011,18:01,108.65
8/06/2011,19:01,108.4
9/06/2011,20:01,108.05
10/06/2011,21:01,108.24
13/06/2011,22:01,108.34
14/06/2011,23:01,108.62
